Name, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness, Time
naive,4,50,50,50,220,88,80,1,0.000115894
naive parallel,4,50,50,50,220,88,80,1,0.000286984
naive,4,100,100,100,220,88,80,1,0.000702108
naive parallel,4,100,100,100,220,88,80,1,0.000382464
naive,4,250,250,250,220,88,80,1,0.0103168
naive parallel,4,250,250,250,220,88,80,1,0.00158369
naive,4,500,500,500,220,88,80,1,0.0754442
naive parallel,4,500,500,500,220,88,80,1,0.0166998
naive,4,1000,1000,1000,220,88,80,1,0.583046
naive parallel,4,1000,1000,1000,220,88,80,1,0.160269
naive,4,1500,1500,1500,220,88,80,1,1.98329
naive parallel,4,1500,1500,1500,220,88,80,1,0.767286
naive,4,2000,2000,2000,220,88,80,1,10.1368
naive parallel,4,2000,2000,2000,220,88,80,1,2.33498
naive,4,2500,2500,2500,220,88,80,1,22.2751
naive parallel,4,2500,2500,2500,220,88,80,1,5.16375
naive,4,3000,3000,3000,220,88,80,1,39.8844
naive parallel,4,3000,3000,3000,220,88,80,1,8.73833
naive,4,3500,3500,3500,220,88,80,1,65.136
naive parallel,4,3500,3500,3500,220,88,80,1,14.1504
naive,4,4000,4000,4000,220,88,80,1,99.4601
naive parallel,4,4000,4000,4000,220,88,80,1,21.7379
naive,4,5000,5000,5000,220,88,80,1,206.421
naive parallel,4,5000,5000,5000,220,88,80,1,47.3347
naive,4,6000,6000,6000,220,88,80,1,370.461
naive parallel,4,6000,6000,6000,220,88,80,1,84.6468
naive,4,7000,7000,7000,220,88,80,1,550.063
naive parallel,4,7000,7000,7000,220,88,80,1,116.22
naive,4,8000,8000,8000,220,88,80,1,829.157
naive parallel,4,8000,8000,8000,220,88,80,1,188.701
