Name, Time, Batch Dimension, ARows, ACols, BCols, B1, B2, B3, Correctness
kernel8x16,0.0188855,1,1000,1000,1000,120,120,120,1
kernel14x8,0.017238,1,1000,1000,1000,120,120,120,1
kernel4x12,0.0172651,1,1000,1000,1000,120,120,120,1
kernel10x12,0.0171249,1,1000,1000,1000,120,120,120,1
kernel14x16,0.0235093,1,1000,1000,1000,120,120,120,1
kernel18x20,0.0231939,1,1000,1000,1000,120,120,120,1
kernel12x24,0.0214396,1,1000,1000,1000,120,120,120,1
kernel12x32,0.0225696,1,1000,1000,1000,120,120,120,1
kernel8x16,0.405297,4,2000,2000,2000,120,120,120,1
kernel14x8,0.435341,4,2000,2000,2000,120,120,120,1
kernel4x12,0.496687,4,2000,2000,2000,120,120,120,1
kernel10x12,0.449131,4,2000,2000,2000,120,120,120,1
kernel14x16,0.635641,4,2000,2000,2000,120,120,120,1
kernel18x20,0.654036,4,2000,2000,2000,120,120,120,1
kernel12x24,0.640955,4,2000,2000,2000,120,120,120,1
kernel12x32,0.657144,4,2000,2000,2000,120,120,120,1
kernel8x16,0.0202671,1,1000,1000,1000,120,120,240,1
kernel14x8,0.0198715,1,1000,1000,1000,120,120,240,1
kernel4x12,0.0197062,1,1000,1000,1000,120,120,240,1
kernel10x12,0.0195264,1,1000,1000,1000,120,120,240,1
kernel14x16,0.0254438,1,1000,1000,1000,120,120,240,1
kernel18x20,0.0263057,1,1000,1000,1000,120,120,240,1
kernel12x24,0.0255588,1,1000,1000,1000,120,120,240,1
kernel12x32,0.024426,1,1000,1000,1000,120,120,240,1
kernel8x16,0.403081,4,2000,2000,2000,120,120,240,1
kernel14x8,0.439955,4,2000,2000,2000,120,120,240,1
kernel4x12,0.496441,4,2000,2000,2000,120,120,240,1
kernel10x12,0.451934,4,2000,2000,2000,120,120,240,1
kernel14x16,0.628473,4,2000,2000,2000,120,120,240,1
kernel18x20,0.65142,4,2000,2000,2000,120,120,240,1
kernel12x24,0.632093,4,2000,2000,2000,120,120,240,1
kernel12x32,0.651598,4,2000,2000,2000,120,120,240,1
kernel8x16,0.0213329,1,1000,1000,1000,120,120,480,1
kernel14x8,0.0211029,1,1000,1000,1000,120,120,480,1
kernel4x12,0.0223652,1,1000,1000,1000,120,120,480,1
kernel10x12,0.0221196,1,1000,1000,1000,120,120,480,1
kernel14x16,0.0259441,1,1000,1000,1000,120,120,480,1
kernel18x20,0.0275877,1,1000,1000,1000,120,120,480,1
kernel12x24,0.0284661,1,1000,1000,1000,120,120,480,1
kernel12x32,0.0271323,1,1000,1000,1000,120,120,480,1
kernel8x16,0.405848,4,2000,2000,2000,120,120,480,1
kernel14x8,0.467746,4,2000,2000,2000,120,120,480,1
kernel4x12,0.531322,4,2000,2000,2000,120,120,480,1
kernel10x12,0.476562,4,2000,2000,2000,120,120,480,1
kernel14x16,0.644159,4,2000,2000,2000,120,120,480,1
kernel18x20,0.669751,4,2000,2000,2000,120,120,480,1
kernel12x24,0.66717,4,2000,2000,2000,120,120,480,1
kernel12x32,0.660954,4,2000,2000,2000,120,120,480,1
kernel8x16,0.0212131,1,1000,1000,1000,120,240,120,1
kernel14x8,0.0173467,1,1000,1000,1000,120,240,120,1
kernel4x12,0.0175771,1,1000,1000,1000,120,240,120,1
kernel10x12,0.0176688,1,1000,1000,1000,120,240,120,1
kernel14x16,0.0221407,1,1000,1000,1000,120,240,120,1
kernel18x20,0.0230757,1,1000,1000,1000,120,240,120,1
kernel12x24,0.0240763,1,1000,1000,1000,120,240,120,1
kernel12x32,0.0232718,1,1000,1000,1000,120,240,120,1
kernel8x16,0.409818,4,2000,2000,2000,120,240,120,1
kernel14x8,0.440526,4,2000,2000,2000,120,240,120,1
kernel4x12,0.499418,4,2000,2000,2000,120,240,120,1
kernel10x12,0.452237,4,2000,2000,2000,120,240,120,1
kernel14x16,0.633432,4,2000,2000,2000,120,240,120,1
kernel18x20,0.657883,4,2000,2000,2000,120,240,120,1
kernel12x24,0.645392,4,2000,2000,2000,120,240,120,1
kernel12x32,0.654657,4,2000,2000,2000,120,240,120,1
kernel8x16,0.0211191,1,1000,1000,1000,120,240,240,1
kernel14x8,0.0203002,1,1000,1000,1000,120,240,240,1
kernel4x12,0.0205535,1,1000,1000,1000,120,240,240,1
kernel10x12,0.0198601,1,1000,1000,1000,120,240,240,1
kernel14x16,0.0246211,1,1000,1000,1000,120,240,240,1
kernel18x20,0.0269344,1,1000,1000,1000,120,240,240,1
kernel12x24,0.0263046,1,1000,1000,1000,120,240,240,1
kernel12x32,0.0245366,1,1000,1000,1000,120,240,240,1
kernel8x16,0.411777,4,2000,2000,2000,120,240,240,1
kernel14x8,0.445997,4,2000,2000,2000,120,240,240,1
kernel4x12,0.500868,4,2000,2000,2000,120,240,240,1
